City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
446,Hutchinson,US,74.75,few clouds,38.0608,-97.9298,OYO Hotel Hutchinson KS West 4th Ave
447,Srandakan,ID,80.47,overcast clouds,-7.9386,110.2506,Puri Brata
453,Susanville,US,80.82,overcast clouds,40.4163,-120.653,Comfort Inn & Suites
457,Dir,PK,79.12,scattered clouds,35.2058,71.8756,Sindh Hotal Dir
458,Sabancuy,MX,80.47,clear sky,18.9667,-91.1833,pulpo
459,Daru,PG,79.92,broken clouds,-9.0763,143.2092,Daru Lodge
461,El Vigia,VE,75.72,overcast clouds,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
462,El Negrito,HN,80.2,clear sky,15.3167,-87.7,Taller YJ
464,Union Hidalgo,MX,81.55,overcast clouds,16.4723,-94.8295,"Posada "" Esquipulas"""
465,Baduria,IN,84.13,overcast clouds,22.7417,88.7858,Birla Baduria godown
466,Bull Savanna,JM,77.38,overcast clouds,17.8868,-77.5902,Big Red's
467,Monrovia,LR,75.76,light rain,6.3005,-10.7969,Sunset Inn
468,Erenhot,CN,71.44,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
469,Natal,BR,75.42,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
472,Afantou,GR,80.31,clear sky,36.2935,28.1623,Hotel Iris
474,Bintulu,MY,88.21,thunderstorm,3.1667,113.0333,900 Boutique INN
475,Katsuura,JP,80.71,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
477,Bandarbeyla,SO,76.46,scattered clouds,9.4942,50.8122,JABIR HOTEL
479,Sungaipenuh,ID,74.97,few clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
480,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
481,Dubti,ET,79.47,light rain,11.7361,41.0853,degu Shiferaw
482,Sulangan,PH,84.79,broken clouds,11.1373,123.7228,Maia's Beach Resort
483,Kurumkan,RU,74.66,clear sky,54.3,110.3,Ilikchin
484,Fort Morgan,US,86.81,clear sky,40.2503,-103.8,Hampton Inn Fort Morgan
485,Labuhan,ID,81.36,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
488,Manokwari,ID,84.06,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
489,Paka,MY,76.93,moderate rain,4.6374,103.4368,RUMBIA RESORT VILLA
491,Kapoeta,SS,70.41,overcast clouds,4.7717,33.5903,Eastgate Hotel
494,Chopda,IN,77.86,overcast clouds,21.25,75.3,CHACHA BHATIJA AAMLET CENTAR
498,Hurghada,EG,86.09,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
499,Canico,PT,74.03,scattered clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
501,Pokhara,NP,75.81,overcast clouds,28.2333,83.9833,Butterfly Lodge
502,Russell,US,84.51,thunderstorm,32.3502,-85.1999,Macs
506,Gurupi,BR,72.21,clear sky,-11.7292,-49.0686,Via Norte Hotel
509,Isagarh,IN,75.36,overcast clouds,24.8333,77.8833,ACC Cement
513,Saraland,US,84.22,few clouds,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
515,Kribi,CM,74.77,light rain,2.95,9.9167,Les Vagues bleues
516,Phangnga,TH,87.91,overcast clouds,8.4509,98.5298,Sunimit Mansion
518,Ambulu,ID,80.04,clear sky,-8.345,113.6058,Hotel Ambulu Jember
521,Yarada,IN,84.52,mist,17.65,83.2667,Jeevan
525,Huadian,CN,86.4,scattered clouds,42.9633,126.7478,Huadian Forestry Bureau
526,Kawalu,ID,80.44,scattered clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
527,Majene,ID,82.27,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
530,Nemuro,JP,70.23,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
531,Dalnegorsk,RU,89.17,scattered clouds,44.5604,135.5701,Dalnegorsk
532,North Platte,US,85.98,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
533,Fare,PF,78.44,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
536,Tucumcari,US,73.24,overcast clouds,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
538,Chahal,GT,73.54,clear sky,15.75,-89.5667,HOTEL MY WONDERFUL DAYS
539,Havelock,US,82.94,scattered clouds,34.8791,-76.9013,Sherwood Motel
542,Visegrad,BA,76.6,overcast clouds,43.7847,19.2992,Hotel Višegrad
546,Koprivnica,HR,72.95,scattered clouds,46.1628,16.8275,Podravina
548,Gra Liyia,GR,75.38,clear sky,35.0167,25.6833,Diktynna Traditional Villas
550,Manoharpur,IN,79.75,light rain,27.3,75.95,कैथल हरियाणा होटल
553,Vung Tau,VN,83.73,clear sky,10.346,107.0843,Green hotel
555,Hambantota,LK,81.41,overcast clouds,6.1241,81.1185,Bungalow 63
556,Netivot,IL,75.9,clear sky,31.4222,34.5886,"'בית החסד - מוסדות מאורות נתן' - מיסודו של הרב נתן בוקובזה זצוק""ל"
557,Miri,MY,87.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
558,Zhoucun,CN,86.9,overcast clouds,36.8167,117.8167,Zibo Changxin Hotel
561,Dorado,PR,82.47,few clouds,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
564,Namatanai,PG,85.19,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
566,Qax,AZ,70.79,clear sky,41.4225,46.9242,El Resort Hotel
569,Suntar,RU,84.54,scattered clouds,62.1444,117.6319,Дом у Мамы
572,Salinopolis,BR,77.88,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
573,Naze,JP,85.12,heavy intensity rain,28.3667,129.4833,奄美ポートタワーホテル
575,Port-Gentil,GA,74.43,overcast clouds,-0.7193,8.7815,Fengshui Residence
