City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,Tasiilaq,GL,65.6145,-37.6368,44.76,89,27,4.85,scattered clouds
162,Badou,TG,7.5833,0.6,68.72,92,72,3.49,broken clouds
163,Vila Velha,BR,-20.3297,-40.2925,67.95,94,20,2.3,few clouds
164,Grand Gaube,MU,-20.0064,57.6608,66.38,88,95,3.0,light rain
165,Weesp,NL,52.3075,5.0417,63.18,96,20,1.99,few clouds
166,Kafanchan,NG,9.5833,8.3,66.15,99,100,2.3,light rain
167,Vilyuysk,RU,63.7553,121.6247,77.27,42,6,8.46,clear sky
168,Torbay,CA,47.6666,-52.7314,57.67,91,0,10.11,clear sky
169,Kosonsoy,UZ,41.2561,71.5508,77.56,20,0,4.92,clear sky
170,Vao,NC,-22.6667,167.4833,68.36,61,19,16.82,few clouds
171,Hwange,ZW,-18.3693,26.5019,50.88,62,3,4.99,clear sky
172,La Asuncion,VE,11.0333,-63.8628,78.19,90,89,10.71,overcast clouds
173,Kyra,RU,49.5776,111.9753,64.83,70,94,2.39,overcast clouds
174,Garowe,SO,8.4054,48.4845,76.39,53,26,22.77,scattered clouds
175,Abu Samrah,SY,35.3029,37.1841,76.42,56,0,7.47,clear sky
176,Vanavara,RU,60.34,102.2797,80.85,34,6,7.96,clear sky
177,Caravelas,BR,-17.7125,-39.2481,68.29,90,5,5.37,clear sky
178,Maromitsa,RU,59.8683,48.0123,49.01,97,80,7.09,broken clouds
179,Tierranueva,MX,21.6833,-100.5667,64.53,66,5,7.34,clear sky
180,Finschhafen,PG,-6.6024,147.8681,77.88,90,100,6.96,overcast clouds
181,Port Hedland,AU,-20.3167,118.5667,77.05,53,87,14.97,overcast clouds
182,Upernavik,GL,72.7868,-56.1549,44.92,92,100,7.45,light rain
183,Iaciara,BR,-14.0958,-46.6317,66.69,40,0,3.02,clear sky
184,Hermanus,ZA,-34.4187,19.2345,54.9,62,2,9.33,clear sky
185,Vardo,NO,70.3705,31.1107,47.23,86,29,2.98,scattered clouds
186,Rawson,AR,-43.3002,-65.1023,41.77,74,80,27.83,light rain
187,Yerbogachen,RU,61.2767,108.0108,82.44,43,3,7.67,clear sky
188,Luganville,VU,-15.5333,167.1667,79.52,84,100,12.15,overcast clouds
189,Sainte-Anne-Des-Monts,CA,49.124,-66.4924,66.07,77,14,5.75,few clouds
190,Tiksi,RU,71.6872,128.8694,38.68,87,76,10.67,broken clouds
191,Mumford,GH,5.2618,-0.759,75.58,77,97,13.11,overcast clouds
192,Sitka,US,57.0531,-135.33,62.49,67,75,3.44,broken clouds
193,Port Lincoln,AU,-34.7333,135.8667,65.28,41,90,31.23,overcast clouds
194,Xichang,CN,27.8964,102.2634,73.42,74,69,1.45,broken clouds
195,Batitang,PH,15.4045,120.8079,86.32,71,96,11.56,overcast clouds
196,Bengkulu,ID,-3.8004,102.2655,81.3,61,18,2.19,few clouds
197,Oum Hadjer,TD,13.2954,19.6966,74.21,84,100,3.11,overcast clouds
198,Sao Filipe,CV,14.8961,-24.4956,74.97,85,24,9.01,few clouds
199,Swan River,CA,52.1058,-101.2676,71.49,68,9,1.14,clear sky
200,Lengyeltoti,HU,46.6701,17.644,73.42,60,33,6.11,scattered clouds
201,Aswan,EG,24.0934,32.907,87.08,21,14,12.64,few clouds
202,Sangar,RU,63.9242,127.4739,75.81,35,30,13.51,scattered clouds
203,Ambilobe,MG,-13.2,49.05,66.81,71,66,3.49,broken clouds
204,Nome,US,64.5011,-165.4064,50.07,93,90,11.5,light rain
205,Saint Anthony,US,45.0205,-93.218,84.92,69,1,1.99,clear sky
206,Gornyak,RU,50.9942,81.4661,62.65,73,0,13.0,clear sky
207,Half Moon Bay,US,37.4636,-122.4286,84.74,73,75,8.05,broken clouds
208,Nikolskoye,RU,59.7035,30.7861,65.8,73,6,3.89,clear sky
209,La Orilla,MX,17.9833,-102.2333,81.72,81,57,1.14,broken clouds
210,Arrifes,PT,37.7667,-25.7,68.25,94,75,5.75,light intensity drizzle
211,Ermoupolis,GR,37.4423,24.9425,77.9,61,0,20.71,clear sky
212,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,96,90,14.97,overcast clouds
213,Boueni,YT,-12.9025,45.0761,75.18,69,6,19.69,clear sky
214,Banjar,ID,-8.19,114.9675,80.46,52,8,1.63,clear sky
215,Dartford,GB,51.4435,0.2196,66.36,85,100,1.01,overcast clouds
216,Lahaina,US,20.8783,-156.6825,85.24,87,47,11.72,scattered clouds
217,Pisco,PE,-13.7,-76.2167,65.01,82,0,10.36,clear sky
218,Hithadhoo,MV,-0.6,73.0833,80.89,74,100,4.99,overcast clouds
219,Saladoblanco,CO,1.9924,-76.0434,60.19,98,100,3.56,overcast clouds
220,Sakakah,SA,29.9697,40.2064,90.97,26,6,7.16,clear sky
221,Kourou,GF,5.1552,-52.6478,82.11,90,74,5.28,broken clouds
222,Jumla,NP,29.2747,82.1838,67.15,90,100,1.7,overcast clouds
223,Salalah,OM,17.0151,54.0924,78.89,83,75,5.75,broken clouds
224,Spearfish,US,44.4908,-103.8594,89.82,30,1,1.01,clear sky
225,Ylojarvi,FI,61.5563,23.5961,60.8,87,0,2.3,clear sky
226,Komsomolskiy,UZ,40.4272,71.7189,86.72,28,1,11.5,clear sky
227,Harper,LR,4.375,-7.7169,75.45,81,100,9.98,overcast clouds
228,Sharjah,AE,25.3573,55.4033,93.18,53,100,2.3,dust
229,Sesheke,ZM,-17.4759,24.2968,45.16,58,97,4.61,overcast clouds
230,Mokokchung,IN,26.3333,94.5333,67.48,97,100,1.05,overcast clouds
231,Honiara,SB,-9.4333,159.95,84.42,71,98,5.59,overcast clouds
232,Gogrial,SS,8.5332,28.1004,69.75,98,100,2.86,light rain
233,Joensuu,FI,62.6012,29.7632,63.09,88,84,1.14,broken clouds
234,Khatanga,RU,71.9667,102.5,70.0,54,100,19.17,overcast clouds
235,Kumluca,TR,36.3703,30.2869,84.87,39,0,7.45,clear sky
236,Kuusamo,FI,65.9667,29.1833,46.44,93,0,1.14,clear sky
237,Lithakia,GR,37.7167,20.8333,77.59,61,0,3.44,clear sky
238,Hukuntsi,BW,-24.0,21.75,42.19,53,0,10.87,clear sky
239,Hami,CN,42.8,93.45,89.04,18,0,12.68,clear sky
