City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
292,Porto Novo,BJ,78.62,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
298,Kijang,KR,76.73,clear sky,35.2442,129.2139,Samyang Beach Villa
304,Xingcheng,CN,76.3,light rain,40.6167,120.7167,New Century Hotel
310,Minbu,MM,75.38,overcast clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
311,Karpathos,GR,75.69,clear sky,35.507,27.2132,Alex
312,Ferkessedougou,CI,74.8,scattered clouds,9.6,-5.2,Hotel Chateau
323,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
327,Pitsunda,GE,77.18,light rain,43.1592,40.3378,Hotel FREEDOM
328,Umuarama,BR,77.41,scattered clouds,-23.7664,-53.325,HOTEL CAIUÁ
331,Sirsa,IN,85.55,overcast clouds,29.5333,75.0167,Hotel Capital
332,Marsa Matruh,EG,79.0,scattered clouds,31.3525,27.2453,Beau Site
337,Pacific Grove,US,83.61,scattered clouds,36.6177,-121.9166,Lovers Point Inn
339,Buala,SB,79.39,light rain,-8.145,159.5921,Maringe Lagoon Lodge
340,Awbari,LY,86.31,clear sky,26.5921,12.7805,فندق أوباري
341,Sokoto,NG,85.78,broken clouds,13.0609,5.239,Shukura Coral Hotel
343,Marsh Harbour,BS,83.98,clear sky,26.5412,-77.0636,Abaco Beach Resort
344,Bengkulu,ID,73.67,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
350,Wuan,CN,76.71,clear sky,31.6836,112.0044,武镇大酒店
353,Casa Nova,BR,84.18,scattered clouds,-9.4167,-41.1333,Pousada e Restaurante Dona Xinha
354,Tarakan,ID,80.08,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
359,Kupang,ID,71.65,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
361,Sidi Ali,DZ,71.06,clear sky,36.0998,0.4206,الغابة الترفيهية بورحمة
363,Dzilam Gonzalez,MX,88.45,overcast clouds,21.2833,-88.9333,posadas
364,Maunabo,PR,87.66,overcast clouds,18.0072,-65.8993,Maunacaribe
372,Pahrump,US,85.62,light rain,36.2083,-115.9839,Best Western Pahrump Oasis
377,Danshui,CN,87.03,overcast clouds,22.7984,114.4672,Grand Skylight International Hotel Huizhou
380,Salinas,US,84.0,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
381,Kadhan,PK,83.57,overcast clouds,24.481,68.9859,ڳوٺ چوڌري جلال الدين جٽ
385,Sambava,MG,70.3,overcast clouds,-14.2667,50.1667,Melrose
386,Satipo,PE,88.45,few clouds,-11.2522,-74.6386,Bungalows El Palmiche
388,Isangel,VU,72.9,overcast clouds,-19.55,169.2667,Tanna Lodge
389,Kyaikkami,MM,78.37,overcast clouds,16.08,97.5675,Happy Family Kyaikkami
390,Piacabucu,BR,72.99,clear sky,-10.4056,-36.4344,Piaçabuçu News
391,Esfarayen,IR,78.46,clear sky,37.0765,57.5101,دفتر ازدواج 65 : سردفتر ابراهیم برغمدی
392,Piojo,CO,82.76,overcast clouds,10.7485,-75.1078,Reserva Natural Los Charcones - Lomita el paso del conejo
395,Balkhash,KZ,71.69,clear sky,46.844,74.9804,Family
396,Namie,JP,76.96,light rain,37.4833,141.0,いこいの村なみえ
397,Gat,IL,81.81,clear sky,31.61,34.7642,OlusHome
400,Ahuimanu,US,85.71,broken clouds,21.4447,-157.8378,Paradise Bay Resort
401,Kutum,SD,71.4,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
404,Sao Joao Da Barra,BR,75.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
405,Perove,UA,74.93,clear sky,44.9333,34.0667,5 Zvezd
406,Nabire,ID,74.79,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
407,Bheramara,BD,83.5,overcast clouds,24.0232,88.9925,Bimal kumer Agarwala
410,Palaikastron,GR,75.13,clear sky,35.2,26.25,Marina Village
418,Lagunillas,VE,84.99,broken clouds,10.1301,-71.2595,Casa de Beatriz y Chucho
419,Bonthe,SL,76.82,light rain,7.5264,-12.505,Bonthe Holiday Village
420,Pozo Colorado,PY,89.83,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
421,Anloga,GH,77.22,few clouds,5.7947,0.8973,Pin Drop Hotel
425,Along,IN,75.52,overcast clouds,28.1667,94.7667,Hotel West
432,Bhinmal,IN,80.04,overcast clouds,25.0,72.25,Jambheswar Bhavan(Gopi Khilery)
434,Madang,PG,77.7,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
436,Bandarbeyla,SO,76.78,clear sky,9.4942,50.8122,JABIR HOTEL
439,Ninh Binh,VN,81.23,overcast clouds,20.2539,105.975,Kinh Do Hotel
440,Popondetta,PG,71.51,overcast clouds,-8.7537,148.2534,Timos Transit House
441,Yacuiba,BO,75.04,clear sky,-22.038,-63.6797,Hotel Monumental
445,Itoman,JP,80.98,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
446,Orocue,CO,79.09,moderate rain,4.7912,-71.3354,Hotel Brisas de San Miguel
447,Despotovac,RS,71.8,scattered clouds,44.0925,21.4469,Коначиште Ресава
452,Tiarei,PF,82.42,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
453,Lorengau,PG,81.91,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
454,Makakilo City,US,81.68,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
456,Bardiyah,LY,78.53,clear sky,31.7561,25.0865,بورتو بردية
459,Naze,JP,76.8,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
460,Sainte-Rose,GP,86.04,scattered clouds,16.3324,-61.6979,Villa - Duzer
462,Itacoatiara,BR,89.69,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
464,Garowe,SO,79.9,overcast clouds,8.4054,48.4845,Curubo Hotel
466,Barcarena,BR,87.85,overcast clouds,-1.5058,-48.6258,Dos Santos Hotel
469,Eyl,SO,79.39,broken clouds,7.9803,49.8164,Amiin Hotel
470,Carlos Antonio Lopez,PY,77.34,overcast clouds,-26.4,-54.7667,Milenium
471,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
473,Pimentel,PE,73.69,clear sky,-6.8367,-79.9342,Casona Del Muelle
474,Qui Nhon,VN,83.98,scattered clouds,13.7667,109.2333,Hoang Yen Canary Hotel
476,Sancti Spiritus,CU,86.95,moderate rain,21.9297,-79.4425,Hostal El Parque
479,Sola,VU,80.4,scattered clouds,-13.8833,167.55,Leumerus Bungalows
480,Port Moresby,PG,74.62,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
484,Alto Araguaia,BR,79.95,clear sky,-17.3147,-53.2153,Araguaia Palace Hotel
485,Bay City,US,89.71,clear sky,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
490,Meulaboh,ID,76.89,broken clouds,4.1363,96.1285,Kost Pria
491,Miyazu,JP,74.23,overcast clouds,35.5333,135.1833,Seikiro
492,Dhidhdhoo,MV,81.07,overcast clouds,6.8833,73.1,Dhidhoo beach
494,Notre-Dame-Du-Lac,CA,80.26,scattered clouds,47.6136,-68.7964,Auberge La Dolce Vita
495,Santa Rosa,PH,84.18,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
497,Upata,VE,80.35,scattered clouds,8.0086,-62.3989,Posada Villa Nela
498,Shingu,JP,78.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
499,Sao Felix Do Xingu,BR,86.65,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
500,Caborca,MX,89.49,clear sky,30.5838,-111.101,Hotel Los Lagos
501,Kushima,JP,73.92,few clouds,31.4583,131.2333,Hanaoka
504,Soyo,AO,72.45,overcast clouds,-6.1349,12.3689,Hotel Mpampa
508,Isla Vista,US,79.25,overcast clouds,34.4133,-119.861,Best Western Plus South Coast Inn
509,Zhanaozen,KZ,85.55,clear sky,43.3,52.8,K.korabay 28A
512,Esmeraldas,BR,77.11,clear sky,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
513,General Cepeda,MX,86.34,few clouds,25.3833,-101.45,Hacienda Los Jose
514,Shieli,KZ,80.65,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
517,Maracaibo,VE,88.0,broken clouds,10.6317,-71.6406,Motel Aladdin
518,Lana,IT,72.0,light rain,46.6124,11.1559,Schlosshof Resort Südtirol - Camping Meran & Hotel Lana
525,Dzaoudzi,YT,75.09,light rain,-12.7887,45.2699,Le Rocher
528,Cayenne,GF,86.04,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
531,Athabasca,CA,77.41,scattered clouds,54.7169,-113.2854,Athabasca Lodge Motel
535,Kearney,US,89.15,broken clouds,40.6995,-99.0815,"Holiday Inn Kearney, an IHG Hotel"
537,Lesnica,RS,77.67,broken clouds,44.6525,19.31,Šegina vikendica
538,Darnah,LY,77.09,clear sky,32.767,22.6367,فندق الفردوس
540,Caravelas,BR,70.95,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
544,Fort Nelson,CA,72.99,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
546,Grand-Lahou,CI,76.78,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
547,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Poutur Pousada
549,Mumford,GH,75.63,scattered clouds,5.2618,-0.759,Spanish Villa
551,Ilebo,CD,71.58,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
552,Jizan,SA,83.34,overcast clouds,17.3333,42.6667,شهدان. ابوالحجر
554,La Ronge,CA,71.85,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
558,Pombas,CV,76.78,few clouds,17.1503,-25.0201,Paul Paradis
559,Tahoua,NE,85.24,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
561,Havelock,US,89.56,broken clouds,34.8791,-76.9013,Sherwood Motel
